2026-04-27 13:49:03,963 - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
2026-04-27 13:54:39,722 - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
2026-04-27 14:05:47,082 - WARNING - TensorFlow GPU support is not available on native Windows for TensorFlow >= 2.11. Even if CUDA/cuDNN are installed, GPU will not be used. Please use WSL2 or the TensorFlow-DirectML plugin.
2026-04-27 14:39:41,063 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: minecraft-safe-001 | hash: 75e92a3683f0e529 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:39:48,601 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: talking-angela-dangerous-002 | hash: aaa0be44b97a7340 | max_z: 152822.46 | features: ['cam_count', 'cam_duration', 'loc_freq', 'mic_duration', 'data_upload', 'data_download', 'bg_data']
2026-04-27 14:39:52,871 - WARNING - BOUNDS_VIOLATION | IP: 127.0.0.1 | session: poisoned-huge-004 | hash: 3528dd698c09e68a | violations: [{'feature': 'data_upload', 'value_min': 9.9e+99, 'value_max': 9.9e+99, 'allowed_range': [0, 1000000000.0]}]
2026-04-27 14:40:03,250 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-000 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:06,141 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-001 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:08,336 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-002 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:10,509 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-003 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:12,680 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-004 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:14,854 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-005 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:17,045 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-006 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:19,214 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-007 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:21,423 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-008 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:23,608 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-009 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:25,762 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-010 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
2026-04-27 14:40:27,950 - WARNING - STATISTICAL_ANOMALY | IP: 127.0.0.1 | session: rate-test-011 | hash: 60d21e3ac25b5d18 | max_z: 5296.50 | features: ['data_upload', 'data_download', 'bg_data']
